OrderID,CustomerID,OrderDate,ProductID,Quantity,Discount,PaymentMethod,Status,Age,City,SignupDate,CustomerSegment,PaymentID,PaymentDate,PaymentStatus,ProductName,Category,UnitPrice
500001,103695,2025-08-28,2003,4.0,0.1,Gateway,Completed,36.0,Qom,2024-03-05,Regular,800001,2025-08-28,Paid,USB-C Cable,Accessories,9.0
500002,107935,2024-05-31,2014,1.0,0.1,Wallet,Completed,49.0,Kerman,2025-06-04,Regular,800002,2024-05-31,Paid,Backpack,Accessories,42.0
500003,105141,2025-08-10,2002,1.0,0.2,CardToCard,Completed,36.0,Tehran,2025-10-19,Regular,800003,2025-08-10,Paid,Mechanical Keyboard,Electronics,62.0
500004,108780,2024-10-11,2012,1.0,0.1,Gateway,Completed,45.0,Shiraz,2023-12-07,Regular,800004,2024-10-11,Paid,Office Chair,Home Office,180.0
500005,101187,2024-02-19,2008,2.0,0.0,Gateway,Completed,24.0,Karaj,2023-12-02,Regular,800005,2024-02-19,Paid,Phone Case,Accessories,14.0
500006,105545,2024-07-16,2011,4.0,0.0,Gateway,Returned,28.0,Tehran,2024-08-07,New,800006,2024-07-16,Failed,Desk Lamp,Home Office,32.0
500007,106418,2025-10-15,2017,1.0,0.05,Wallet,Completed,23.0,Isfahan,2023-03-09,New,800007,2025-10-15,Paid,HDMI Cable,Accessories,11.0
500008,108755,2024-12-03,2014,1.0,0.0,Gateway,Completed,,Mashhad,2025-11-20,Regular,800008,2024-12-03,Paid,Backpack,Accessories,42.0
500009,105133,2025-04-15,2004,1.0,0.1,Gateway,Completed,40.0,Isfahan,2025-05-04,New,800009,2025-04-15,Paid,Power Bank,Electronics,35.0
500010,103111,2024-04-28,2014,2.0,0.05,Gateway,Cancelled,43.0,Mashhad,2024-06-20,New,800010,2024-04-28,Paid,Backpack,Accessories,42.0
500011,102192,2024-03-21,2004,3.0,0.3,Gateway,Completed,37.0,Tehran,2023-12-02,New,800011,2024-03-21,Paid,Power Bank,Electronics,35.0
500012,102921,2024-07-25,2001,1.0,0.05,Wallet,Completed,33.0,Tabriz,2024-01-19,VIP,800012,2024-07-25,Paid,Wireless Mouse,Electronics,18.0
500013,101803,2025-02-12,2005,3.0,0.1,CardToCard,Completed,39.0,Isfahan,2024-10-31,Regular,800013,2025-02-12,Failed,Laptop Stand,Accessories,28.0
500014,108853,2026-01-01,2001,2.0,0.05,CardToCard,Completed,44.0,Tehran,2025-08-14,New,800014,2026-01-01,Paid,Wireless Mouse,Electronics,18.0
